image_path,frame,speed
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/0.jpg,0,28.105569
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/1.jpg,1,28.105569
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/2.jpg,2,28.106527
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/3.jpg,3,28.130404
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/4.jpg,4,28.109243
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/5.jpg,5,28.088572
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/6.jpg,6,28.034211
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/7.jpg,7,28.018491
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/8.jpg,8,27.986624
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/9.jpg,9,28.016352
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/10.jpg,10,27.981986
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/11.jpg,11,27.978625
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/12.jpg,12,28.032331
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/13.jpg,13,27.960219
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/14.jpg,14,27.937178
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/15.jpg,15,27.940599
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/16.jpg,16,27.908579
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/17.jpg,17,27.898606
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/18.jpg,18,27.855982
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/19.jpg,19,27.795581
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/20.jpg,20,27.850634
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/21.jpg,21,27.839349
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/22.jpg,22,27.824348
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/23.jpg,23,27.759608
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/24.jpg,24,27.830055
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/25.jpg,25,27.761886
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/26.jpg,26,27.694763
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/27.jpg,27,27.761203
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/28.jpg,28,27.691932
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/29.jpg,29,27.666086
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/30.jpg,30,27.723912
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/31.jpg,31,27.639469
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/32.jpg,32,27.612874
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/33.jpg,33,27.638534
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/34.jpg,34,27.606098
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/35.jpg,35,27.593209
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/36.jpg,36,27.573926
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/37.jpg,37,27.561151
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/38.jpg,38,27.559232
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/39.jpg,39,27.528067
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/40.jpg,40,27.522542
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/41.jpg,41,27.531058
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/42.jpg,42,27.493015
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/43.jpg,43,27.487706
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/44.jpg,44,27.440943
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/45.jpg,45,27.439646
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/46.jpg,46,27.412907
/home/ubuntu/Comma/MLII_DeltaForce/data/trainingframes/47.jpg,47,27.401744
